2,39,27,7
2,39,13,8
2,39,23,9
2,177,188,20
2,177,179,22
2,177,203,24
3,1,27,6
3,1,13,7
3,1,23,8
9,27,13,1
9,27,23,2
9,27,22,3
10,13,23,1
10,13,22,2
10,13,38,25
10,112,114,3
10,112,134,12
10,112,83,12
11,23,22,1
11,23,38,24
11,23,18,43
12,22,38,23
12,22,18,42
13,114,134,9
13,114,86,10
13,114,126,11
22,134,126,2
22,134,147,12
22,134,111,12
22,188,179,2
22,188,216,4
22,188,203,4
22,83,86,1
22,83,91,8
22,83,82,11
23,86,91,7
23,86,82,10
23,86,91,10
24,179,203,2
24,179,203,3
24,179,186,5
24,126,147,10
24,126,111,10
24,233,216,2
24,233,203,2
24,233,203,3
26,216,203,1
26,216,186,3
26,203,203,1
26,203,186,3
26,203,175,61
27,203,186,2
27,203,175,60
27,203,176,61
29,186,170,53
29,186,170,54
29,186,175,58
30,91,82,3
30,91,91,3
30,91,111,4
33,82,111,1
33,82,55,1
33,82,74,1
33,91,111,1
33,91,74,1
33,91,92,1
34,147,170,48
34,147,170,49
34,147,175,53
34,111,85,9
34,111,81,52
34,111,112,54
34,55,38,1
34,55,85,9
34,55,38,43
34,74,85,9
34,74,81,52
34,74,75,53
34,92,85,9
34,92,81,52
34,92,75,53
35,38,18,19
35,38,38,42
43,85,81,43
43,85,75,44
43,85,112,45
54,18,38,23
82,170,170,1
82,170,175,5
82,170,176,6
83,170,175,4
83,170,176,5
83,170,143,19
86,81,75,1
86,81,111,3
86,81,111,4
87,175,176,1
87,175,152,16
87,175,204,25
87,75,82,9
87,75,74,9
88,176,152,15
88,176,204,24
88,112,111,1
88,112,111,2
88,112,111,3
89,111,111,1
89,111,111,2
89,111,82,7
90,111,111,1
90,111,82,6
90,111,129,13
91,111,82,5
91,111,129,12
91,111,133,14
96,82,58,59
96,74,58,59
102,143,129,1
102,143,152,1
102,143,133,3
103,129,133,2
103,129,142,59
103,129,156,59
103,152,133,2
103,152,142,59
103,152,156,59
105,133,142,57
105,133,156,57
111,218,204,1
111,218,210,11
112,204,210,10
155,58,57,4
155,58,57,9
155,58,57,14
159,57,57,5
159,57,57,10
159,57,77,29
162,142,150,15
162,142,151,19
162,142,151,22
162,156,150,15
162,156,151,19
162,156,151,22
164,57,57,5
164,57,77,24
164,57,51,29
169,57,77,19
169,57,51,24
169,57,51,25
177,150,151,4
177,150,151,7
177,150,151,10
181,151,151,3
181,151,151,6
181,151,151,7
184,151,151,3
184,151,151,4
184,151,151,5
187,151,151,1
187,151,151,2
187,151,151,4
188,77,51,5
188,77,51,6
188,77,102,7
188,151,151,1
188,151,151,3
